last_seen,match_id,event,team1,team2,scope,decision,reason
2026-08-17T06:03:40.039484+00:00,698910,VCT 2026: Pacific Stage 2,Team Secret,DetonatioN FocusMe,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,698911,VCT 2026: Pacific Stage 2,Gen.G,FULL SENSE,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,698912,VCT 2026: Pacific Stage 2,KIWOOM DRX,T1,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,698913,VCT 2026: Pacific Stage 2,Global Esports,ZETA DIVISION,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,698914,VCT 2026: Pacific Stage 2,VARREL,Paper Rex,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,698915,VCT 2026: Pacific Stage 2,Nongshim RedForce,Rex Regum Qeon,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,706372,VCT 2026: Americas Stage 2,Evil Geniuses,FURIA,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706373,VCT 2026: Americas Stage 2,ENVY,NRG,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706374,VCT 2026: Americas Stage 2,100 Thieves,Cloud9,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706375,VCT 2026: Americas Stage 2,G2 Esports,LOUD,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706376,VCT 2026: Americas Stage 2,KRÜ Esports,Sentinels,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706377,VCT 2026: Americas Stage 2,LEVIATÁN,MIBR,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,706378,VCT 2026: Americas Stage 2,Evil Geniuses,NRG,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,706379,VCT 2026: Americas Stage 2,LOUD,100 Thieves,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,716630,Game Changers 2026: EMEA Stage 3,G2 Gozen,GIANTX GC,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,716632,Game Changers 2026: EMEA Stage 3,Gentle Mates GC,Twisted Minds Orchid,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,716633,Game Changers 2026: EMEA Stage 3,FOKUS Sakura,ALTERNATE aTTaX Ruby,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,716634,Game Changers 2026: EMEA Stage 3,FOKUS Sakura,Habos Babos,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,716635,Game Changers 2026: EMEA Stage 3,GIANTX GC,Karmine Corp GC,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,716636,Game Changers 2026: EMEA Stage 3,Gentle Mates GC,ALTERNATE aTTaX Ruby,relevant,exclude,excluded category: game changers
2026-08-17T06:03:40.039484+00:00,724621,VCT 2026: China Stage 2,FunPlus Phoenix,JD Gaming,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,724622,VCT 2026: China Stage 2,Wolves Esports,Dragon Ranger Gaming,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,724623,VCT 2026: China Stage 2,All Gamers,Trace Esports,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,724624,VCT 2026: China Stage 2,EDward Gaming,Titan Esports Club,relevant,defer,beyond max-new limit (25)
