canonical,aliases,active
100 Thieves,100T,1
Cloud9,C9,1
DetonatioN FocusMe,DFM,1
Dragon Ranger Gaming,DRG,1
EDward Gaming,EDG,1
ENVY,NV|Envy,1
Evil Geniuses,EG,1
FNATIC,FNC|Fnatic,1
FULL SENSE,FS|Full Sense,1
FURIA,FUR,1
FUT Esports,FUT,1
G2 Esports,G2,1
GIANTX,GX|Giants,1
Guangzhou Huadu Bilibili Gaming(Bilibili Gaming),BLG|Bilibili Gaming,1
JD Gaming,JDG|JD Gaming,1
KIWOOM DRX,DRX|Kiwoom DRX,1
KRÜ Esports,KRU|Kru Esports|KRÜ,1
MIBR,MIBR,1
NRG,NRG,1
Natus Vincere,NAVI|NaVi,1
Nongshim RedForce,NS|Nongshim,1
Paper Rex,PRX,1
Rex Regum Qeon,RRQ,1
Sentinels,SEN,1
T1,T1,1
Team Heretics,TH|Heretics,1
Team Secret,TS,1
Trace Esports,TE|Trace,1
VARREL,VARREL,1
Wolves Esports,WOL|Wolves,1
Wuxi Titan Esports Club(Titan Esports Club),TEC|Titan Esports Club,1
Xi Lai Gaming,XLG,1
ZETA DIVISION,ZETA|Zeta Division,1
